School,Conf,Pre,11/11,11/18,11/25,12/2,12/9,12/16,12/23,12/30,1/6,1/13,1/20,1/27,2/3,2/10,2/17,2/24,3/3,3/10,3/17,Post,year,table_number,11/13,11/20,11/27,12/4,12/11,12/18,12/25,1/1,1/8,1/15,1/22,1/29,2/5,2/12,2/19,2/26,3/4,3/11,3/18,11/14,11/21,11/28,12/5,12/13,12/19,12/26,1/2,1/9,1/16,1/23,1/30,2/6,2/13,2/20,2/28,Final,11/15,11/23,11/29,12/6,12/20,12/27,1/3,1/10,1/17,1/24,1/31,2/7,2/14,2/21,3/7,11/30,12/7,12/14,12/21,12/28,1/4,1/11,1/18,1/25,2/1,2/8,2/15,2/22,3/1,3/8,3/2,11/12,11/19,11/26,12/3,12/10,12/17,12/24,12/31,1/7,1/14,1/21,1/28,2/4,2/11,2/18,2/25,3/5,12/12,2/27,3/6,11/16,2/29,11/17,11/24,12/1,12/8,12/15,12/22,12/29,1/5,1/12,1/19,1/26,2/2,2/9,2/16,2/23,3/9,11/22
Missouri,SEC,24,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,24,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,25,,,,,,,,,,,,,,,,,,,
Creighton,Big East,,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,
Temple,AAC,,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,
Michigan,Big Ten,,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Florida,AAC,,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,,,,22,,21,23,22,20,23,23,20,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,
Texas A&M,SEC,,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,25,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona State,Pac-12,18,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,18,23,,,,21,18,19,19,18,16,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,
Tennessee,SEC,13,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,13,17,22,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Bay,Horizon,,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia Tech,ACC,,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,,,,25,,23,19,18,15,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,
California,Pac-12,,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,,,,,,,21,20,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,Pac-12,,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,,,21,18,,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,
Oregon,Pac-12,,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,
Florida,SEC,20,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,19,16,19,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn,SEC,,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan State,Big Ten,,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzaga,WCC,,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,Big Ten,23,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UConn,AAC,1,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
Notre Dame,ACC,3,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,2,3,3,3,3,3,3,3,3,3,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,
South Carolina,SEC,2,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,3,2,2,2,2,2,2,2,2,2,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,
Baylor,Big 12,5,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,5,,,,,,,,,,,,,4,4,4,4,4,4,6,6,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,,,,,,,,,,,
Maryland,Big Ten,9,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,6,,,,,,,,,,,,,5,5,5,6,6,6,8,8,5,5,5,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,8,5,,,,,,,,,,,,,,,,,
Oregon State,Pac-12,10,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,7,,,,,,,,,,,,,6,7,7,7,11,10,11,12,11,9,9,8,7,7,,,,,,,,,,,,,,,,,,,,,,,,9,8,,,,,,,,,,,,,,,,,
Texas,Big 12,12,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,8,,,,,,,,,,,,,7,6,5,5,5,5,4,4,6,6,6,6,8,8,,,,,,,,,,,,,,,,,,,,,,,,11,6,,,,,,,,,,,,,,,,,
Louisville,ACC,8,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,22,,,,,,,,,,,,,8,,,,,,,23,17,14,13,12,11,10,,,,,,,,,,,,,,,,,,,,,,,,16,7,,,,,,,,,,,,,,,,,
Ohio State,Big Ten,6,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,11,,,,,,,,,,,,,9,10,10,10,9,9,5,5,7,7,7,7,5,5,,,,,,,,,,,,,,,,,,,,,,,,7,9,,,,,,,,,,,,,,,,,
UCLA,Pac-12,,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,10,24,20,19,19,21,15,17,20,15,14,14,12,14,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,
Arizona State,Pac-12,15,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,16,,,,,,,,,,,,,11,17,24,21,22,17,14,10,8,8,8,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,18,10,,,,,,,,,,,,,,,,,
Kentucky,SEC,18,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,12,,,,,,,,,,,,,12,11,8,8,7,7,10,9,9,12,18,18,16,15,,,,,,,,,,,,,,,,,,,,,,,,13,13,,,,,,,,,,,,,,,,,
Stanford,Pac-12,16,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,13,,,,,,,,,,,,,13,16,14,15,12,11,9,11,12,16,15,13,15,13,,,,,,,,,,,,,,,,,,,,,,,,15,11,,,,,,,,,,,,,,,,,
Syracuse,ACC,23,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,23,,,,,,,,,,,,,14,20,19,,,,,,,,,,23,18,,,,,,,,,,,,,,,,,,,,,,,,25,17,,,,,,,,,,,,,,,,,
Mississippi State,SEC,11,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,8,,,,,,,,,,,,,15,9,9,9,8,8,7,7,10,13,11,11,14,16,,,,,,,,,,,,,,,,,,,,,,,,10,16,,,,,,,,,,,,,,,,,
Michigan State,Big Ten,24,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,20,,,,,,,,,,,,,16,19,25,24,24,24,23,18,21,18,17,17,25,20,,,,,,,,,,,,,,,,,,,,,,,,23,19,,,,,,,,,,,,,,,,,
Florida State,ACC,7,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,14,,,,,,,,,,,,,17,13,11,11,10,15,19,16,14,11,10,10,10,12,,,,,,,,,,,,,,,,,,,,,,,,6,14,,,,,,,,,,,,,,,,,
Texas A&M,SEC,13,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,10,,,,,,,,,,,,,19,12,15,18,16,16,13,15,13,10,12,15,12,11,,,,,,,,,,,,,,,,,,,,,,,,12,15,,,,,,,,,,,,,,,,,
Miami (FL),ACC,,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,20,,,23,23,22,,21,16,17,16,19,18,17,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,
DePaul,Big East,,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,18,23,18,16,17,25,24,,24,23,,23,21,19,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,
South Florida,AAC,20,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,18,,,,,,,,,,,,,21,24,21,20,20,20,22,19,15,20,19,22,19,21,,,,,,,,,,,,,,,,,,,,,,,,19,20,,,,,,,,,,,,,,,,,
Colorado State,MWC,,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,22,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,
West Virginia,Big 12,,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,23,,,,,,,,25,24,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,
Oklahoma,Big 12,17,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,21,,,,,,,,,,,,,24,21,17,17,18,18,17,14,19,21,20,21,20,23,,,,,,,,,,,,,,,,,,,,,,,,17,24,,,,,,,,,,,,,,,,,
Florida,SEC,,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,25,,,,,,,20,22,,22,16,22,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,
Oklahoma State,Big 12,,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,20,17,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,SEC,,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,23,20,24,23,22,21,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,SEC,4,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,8,16,14,14,13,12,13,18,19,23,25,24,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
Washington,Pac-12,,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,ACC,14,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,14,13,13,13,12,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,
USC,Pac-12,,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwestern,Big Ten,19,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,15,12,12,15,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,
California,Pac-12,,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,18,22,21,21,19,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,
Seton Hall,Big East,,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's (NY),Big East,,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,Big Ten,,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Washington,A-10,21,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,
Chattanooga,Southern,25,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,
UNC,ACC,22,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UConn,AAC,1,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,
Notre Dame,ACC,3,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,2,2,5,5,4,4,4,7,6,4,4,4,4,4,2,
South Carolina,SEC,2,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,
Maryland,Big Ten,10,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,9,10,15,14,14,15,14,12,8,7,5,5,5,5,5,4,
Baylor,Big 12,8,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,8,13,11,9,9,6,6,5,3,3,3,3,3,3,3,5,
Tennessee,SEC,4,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,4,4,14,11,11,8,8,7,6,5,6,6,6,6,6,6,
Florida State,ACC,,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,17,9,9,7,9,9,7,
Louisville,ACC,12,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,12,12,7,10,10,7,7,6,4,4,8,8,9,8,8,8,
Arizona State,Pac-12,,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,22,18,14,13,11,10,12,12,10,9,
Oregon State,Pac-12,20,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,20,19,17,15,16,10,13,11,9,9,7,7,8,7,7,10,
Kentucky,SEC,11,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,13,9,13,8,8,12,11,10,10,14,10,11,10,11,13,11,
Mississippi State,SEC,,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,25,23,22,21,19,17,14,15,18,18,17,13,14,11,12,
Princeton,Ivy,,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,19,19,19,18,16,16,14,13,
Stanford,Pac-12,6,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,6,5,8,7,7,16,15,15,13,11,12,12,19,18,19,14,
UNC,ACC,13,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,11,11,6,6,6,9,9,8,12,12,16,13,17,17,15,15,
Duke,ACC,7,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,7,8,9,13,13,10,10,13,16,15,17,15,11,10,16,16,
Chattanooga,Southern,,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,23,21,20,18,17,
Iowa,Big Ten,19,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,18,17,22,24,23,23,20,17,22,20,20,16,14,13,17,18,
George Washington,A-10,,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,20,24,22,19,
Florida Gulf Coast,A-Sun,,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,21,20,
Texas A&M,SEC,5,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,5,7,5,4,4,5,5,9,11,10,12,14,15,15,12,21,
Northwestern,Big Ten,,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,22,
Ohio State,Big Ten,,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,
California,Pac-12,15,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,10,18,24,,,,,,,,,,24,25,
South Florida,AAC,,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,
Seton Hall,Big East,,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,24,
Syracuse,ACC,25,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,23,22,21,20,19,22,21,21,25,23,23,25,23,25,23,,
Rutgers,Big Ten,24,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,22,,18,17,17,17,16,24,24,25,22,21,18,19,20,,
Nebraska,Big Ten,16,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,12,12,12,12,12,19,17,16,15,19,22,21,,,
James Madison,CAA,,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,
